,Date,Korean Gas Imports
0,2016-01-01,0
1,2016-02-01,0
2,2016-03-01,0
3,2016-04-01,0
4,2016-05-01,0
5,2016-06-01,0
6,2016-07-01,2930
7,2016-08-01,0
8,2016-09-01,0
9,2016-10-01,0
10,2016-11-01,0
11,2016-12-01,0
12,2017-01-01,10002
13,2017-02-01,1766
14,2017-03-01,0
15,2017-04-01,0
16,2017-05-01,0
17,2017-06-01,0
18,2017-07-01,217
19,2017-08-01,3712
20,2017-09-01,3666
21,2017-10-01,2980
22,2017-11-01,3617
23,2017-12-01,3370
24,2018-01-01,0
25,2018-02-01,0
26,2018-03-01,0
27,2018-04-01,0
28,2018-05-01,0
29,2018-06-01,0
30,2018-07-01,3230
31,2018-08-01,0
32,2018-09-01,0
33,2018-10-01,3551
34,2018-11-01,3529
35,2018-12-01,0
36,2019-01-01,6631
37,2019-02-01,6748
38,2019-03-01,10678
39,2019-04-01,10139
40,2019-05-01,14325
41,2019-06-01,13506
42,2019-07-01,3297
43,2019-08-01,15861
44,2019-09-01,37938
45,2019-10-01,13704
46,2019-11-01,19985
47,2019-12-01,13874
48,2020-01-01,24412
49,2020-02-01,20240
50,2020-03-01,23657
51,2020-04-01,22943
52,2020-05-01,29319
53,2020-06-01,9640
54,2020-07-01,7024
