,Date,Spanish Gas Imports
0,2011-01-01,0
1,2011-02-01,0
2,2011-03-01,0
3,2011-04-01,0
4,2011-05-01,1127
5,2011-06-01,0
6,2011-07-01,0
7,2011-08-01,0
8,2011-09-01,0
9,2011-10-01,0
10,2011-11-01,0
11,2011-12-01,0
12,2012-01-01,0
13,2012-02-01,0
14,2012-03-01,0
15,2012-04-01,0
16,2012-05-01,0
17,2012-06-01,0
18,2012-07-01,0
19,2012-08-01,0
20,2012-09-01,0
21,2012-10-01,0
22,2012-11-01,0
23,2012-12-01,0
24,2015-01-01,0
25,2015-02-01,0
26,2015-03-01,0
27,2015-04-01,0
28,2015-05-01,0
29,2015-06-01,0
30,2015-07-01,0
31,2015-08-01,0
32,2015-09-01,0
33,2015-10-01,0
34,2015-11-01,0
35,2015-12-01,0
36,2016-01-01,0
37,2016-02-01,0
38,2016-03-01,0
39,2016-04-01,0
40,2016-05-01,0
41,2016-06-01,0
42,2016-07-01,3132
43,2016-08-01,0
44,2016-09-01,0
45,2016-10-01,0
46,2016-11-01,7341
47,2016-12-01,6747
48,2017-01-01,3391
49,2017-02-01,10338
50,2017-03-01,0
51,2017-04-01,0
52,2017-05-01,3514
53,2017-06-01,0
54,2017-07-01,7218
55,2017-08-01,0
56,2017-09-01,10056
57,2017-10-01,24588
58,2017-11-01,20871
59,2017-12-01,23433
60,2018-01-01,13584
61,2018-02-01,6750
62,2018-03-01,10739
63,2018-04-01,17509
64,2018-05-01,10416
65,2018-06-01,2926
66,2018-07-01,10644
67,2018-08-01,3588
68,2018-09-01,0
69,2018-10-01,7269
70,2018-11-01,3451
71,2018-12-01,3598
72,2019-01-01,3387
73,2019-02-01,3464
74,2019-03-01,0
75,2019-04-01,0
76,2019-05-01,0
77,2019-06-01,0
78,2019-07-01,0
79,2019-08-01,0
80,2019-09-01,0
81,2019-10-01,0
82,2019-11-01,0
83,2019-12-01,0
84,2020-01-01,0
85,2020-02-01,0
86,2020-03-01,17699
87,2020-04-01,21140
88,2020-05-01,14535
89,2020-06-01,0
90,2020-07-01,10358
