,Date,Turkish Gas Imports
0,2016-01-01,0
1,2016-02-01,0
2,2016-03-01,0
3,2016-04-01,0
4,2016-05-01,0
5,2016-06-01,0
6,2016-07-01,0
7,2016-08-01,0
8,2016-09-01,2941
9,2016-10-01,0
10,2016-11-01,2886
11,2016-12-01,2936
12,2017-01-01,0
13,2017-02-01,7402
14,2017-03-01,3521
15,2017-04-01,0
16,2017-05-01,0
17,2017-06-01,0
18,2017-07-01,0
19,2017-08-01,0
20,2017-09-01,3443
21,2017-10-01,0
22,2017-11-01,7076
23,2017-12-01,3413
24,2018-01-01,3714
25,2018-02-01,3279
26,2018-03-01,0
27,2018-04-01,0
28,2018-05-01,0
29,2018-06-01,0
30,2018-07-01,0
31,2018-08-01,0
32,2018-09-01,0
33,2018-10-01,3281
34,2018-11-01,2956
35,2018-12-01,9976
36,2019-01-01,9829
37,2019-02-01,6483
38,2019-03-01,0
39,2019-04-01,2969
40,2019-05-01,0
41,2019-06-01,0
42,2019-07-01,0
43,2019-08-01,0
44,2019-09-01,0
45,2019-10-01,3528
46,2019-11-01,7266
47,2019-12-01,536
48,2020-01-01,32637
49,2020-02-01,24303
50,2020-03-01,6489
51,2020-04-01,14030
52,2020-05-01,6661
53,2020-06-01,0
54,2020-07-01,3222
